fold,level,metric,r2,rmse,medae,alpha,n_components
1,brut (100%),D10,0.728013081855568,0.11547804717558498,0.06918472875569226,31.622776601683793,384
1,brut (100%),D90,0.21667694717589614,1.418071346449575,0.8771121284665124,1000.0,384
1,brut (100%),Span,0.8540045961907531,0.30356218218158065,0.1857340900030371,100.0,384
1,brut (100%),Skewness,0.7228666047130242,0.15790689616581022,0.09441804398732498,100.0,384
1,brut (100%),sigma_local,0.7641294976453606,2.3100556073880654,1.6253926190273429,10.0,384
2,50%,D50,0.47946499010746235,1.3648733898255085,0.9635420650000777,316.22776601683796,6
2,50%,D10,-15.660859768563014,0.14656286483768377,0.12343926566573815,316.22776601683796,6
2,50%,D90,0.2439436272967126,1.4709064401925973,0.9291041823839095,1000.0,6
2,50%,Span,0.47224191063244003,0.5045391974582092,0.37340418301208,316.22776601683796,6
2,50%,Skewness,0.40940163439455324,0.2175842167115794,0.15199961356085834,316.22776601683796,6
2,50%,sigma_local,-0.07429809181208347,3.5807221669730525,2.0485715944845637,316.22776601683796,6
2,75%,D50,0.6666649018896035,1.0922144469425918,0.586860253147444,316.22776601683796,13
2,75%,D10,-12.912388077354072,0.13392944919549044,0.12108456062885198,316.22776601683796,13
2,75%,D90,0.34453969496317394,1.369560299154364,0.8191270752255129,1000.0,13
2,75%,Span,0.6255588685592735,0.42498072893080163,0.2953882514532826,100.0,13
2,75%,Skewness,0.59628212428877,0.17989548280455728,0.12384147352113384,316.22776601683796,13
2,75%,sigma_local,0.262072381723097,2.967666574145642,1.898858492767257,316.22776601683796,13
2,95%,D50,0.784946298848791,0.8772853057225991,0.5207002977432182,100.0,47
2,95%,D10,-7.7419413265615855,0.10616446722213338,0.07126836995057406,100.0,47
2,95%,D90,0.4494184651454306,1.2552169100876638,0.7779173037121616,316.22776601683796,47
2,95%,Span,0.7365944875557195,0.35644283760469403,0.28194560439037364,100.0,47
2,95%,Skewness,0.721467081577146,0.1494237162743961,0.10222296091015748,100.0,47
2,95%,sigma_local,0.5939032186503947,2.201521830616545,1.1841415509697537,31.622776601683793,47
2,brut (100%),D50,0.7641376180676447,0.9187486934777452,0.601099827606344,100.0,384
2,brut (100%),D10,-6.7383383678324655,0.09988472974356934,0.06122762032455542,10.0,384
2,brut (100%),D90,0.4411727722831298,1.2645812532347596,0.7365769892896843,1000.0,384
2,brut (100%),Span,0.7180624884636716,0.36876856537050146,0.2707945368123732,100.0,384
2,brut (100%),Skewness,0.693336734020523,0.15678775690966928,0.10961370032707884,100.0,384
2,brut (100%),sigma_local,0.6083581085398935,2.1619855768575786,1.3940012934888006,10.0,384
3,50%,D50,0.5079548201760096,1.4729456870485538,1.0873681596547127,100.0,6
3,50%,D10,0.5307354138688468,0.15370045729448528,0.08468034188562601,316.22776601683796,6
3,50%,D90,0.1617445857242903,1.2247798574435793,0.8692915539753567,1000.0,6
3,50%,Span,0.5171275039186205,0.4641841940828266,0.30812035863468434,100.0,6
3,50%,Skewness,0.381685483573763,0.2049269556064796,0.1493655270489465,316.22776601683796,6
3,50%,sigma_local,0.5566570852723883,4.622245571377265,2.963041188152994,316.22776601683796,6
3,75%,D50,0.5884831777212883,1.3470323907236257,0.9514230179877168,316.22776601683796,13
3,75%,D10,0.5714527516474814,0.14688100138737087,0.08506197862293519,316.22776601683796,13
3,75%,D90,0.18035973790436366,1.2111041535204634,0.8163866626553631,1000.0,13
3,75%,Span,0.6266036154328434,0.4081869988798615,0.2764498165956486,100.0,13
3,75%,Skewness,0.491695962871326,0.18580446509500517,0.1306137029558242,316.22776601683796,13
3,75%,sigma_local,0.5760183525537683,4.520189664617703,3.0720793443144903,316.22776601683796,13
3,95%,D50,0.7147340111711143,1.1215257257905575,0.8628667122676905,100.0,46
3,95%,D10,0.6236583690085351,0.1376440366775254,0.08287910448034991,316.22776601683796,46
3,95%,D90,0.3098523150415846,1.1113244507411006,0.6590567255217561,316.22776601683796,46
3,95%,Span,0.717991284634216,0.3547360932423651,0.21283627568642616,100.0,46
