block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,379,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,4.959170305676856,5.957275710445962,-0.998105404769106
block_4,D50,380,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.105790500975926,7.007633661589378,-0.9018431606134518
block_4,D50,381,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.4164214243672735,6.486002423702878,-0.06958099933560469
block_4,D50,382,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.301128606534996,6.797210420983838,-0.4960818144488419
block_4,D50,383,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.365714899098326,7.865271693159621,-0.49955679406129505
block_4,D50,384,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,10.536309723620905,9.68670071122995,0.849609012390955
block_4,D50,385,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.86771944216571,7.069162678713015,-0.20144323654730467
block_4,D50,386,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.560638895577494,5.842412933061098,0.7182259625163958
block_4,D50,387,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.844002423263326,7.3831712791876605,-0.5391688559243342
block_4,D50,390,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,5.46017937219731,6.9179992549403355,-1.457819882743025
block_4,D50,391,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,6.454414102008381,7.023374372933374,-0.5689602709249932
block_4,D50,392,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,7.79622641509434,7.643241607057665,0.1529848080366749
block_4,D50,393,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,6.605749316543783,7.216457297992065,-0.6107079814482823
block_4,D50,394,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.9094152731920335,6.747172619707262,0.16224265348477118
block_4,D50,395,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.4914691943127965,6.515835334009725,-0.024366139696928357
block_4,D50,396,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.51237371396793,6.576385261309467,-0.06401154734153636
block_4,D50,397,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.441018766756033,5.5969947487520955,-0.15597598199606288
block_4,D50,401,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,6.255979178390545,6.56692462293295,-0.3109454445424049
block_4,D50,402,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,6.8386264792151295,6.99342781395144,-0.15480133473631064
block_4,D50,403,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,4.971158526691546,6.351299031721613,-1.3801405050300666
block_4,D50,404,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,4.428517753146722,5.252483588230032,-0.8239658350833095
block_4,D50,405,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,5.654350066244664,5.7901449433492065,-0.13579487710454252
block_4,D50,406,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.941283648759844,5.0643172861845045,0.8769663625753399
block_4,D50,407,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.010444385311335,5.9335294815199955,-0.9230850962086601
block_4,D50,410,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,5.191063921526355,6.399834473318851,-1.2087705517924956
block_4,D50,411,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,5.4132580382580375,6.179446094932955,-0.7661880566749177
