model,layer,metric,R2_mean,R2_std,RMSE_mean,RMSE_std,MedAE_mean,MedAE_std,R2_pooled,dim
dinov2_vitb14,layer_06,D90,0.26896051167120005,0.10796564553843704,1.267924046216161,0.10261418306473787,0.8296063862772037,0.0842566512636526,0.3248418459341843,768
dinov2_vitb14,layer_06,Span,0.6548719028816472,0.08415856042095246,0.38233871876747144,0.01541313218071121,0.24386214516455781,0.00791021022363726,0.719449880746321,768
dinov2_vitb14,layer_06,Skewness,0.5743482453418806,0.11089125538350515,0.17273706200179767,0.012975774646704664,0.11632272789570548,0.010423023290050067,0.6436994933611893,768
dinov2_vitb14,layer_06,sigma_local,0.6534316503284964,0.1407573538582047,3.2079983851254745,0.6516980035478903,1.942123397701799,0.5269504655368799,0.7601851763808194,768
dinov2_vitb14,layer_09,D50,0.48453806605507577,0.11958685466721353,1.4489252333346962,0.18188900018871065,0.878345732410574,0.2074368310334907,0.5608484089084967,768
dinov2_vitb14,layer_09,D90,0.18425782051399964,0.10747923933237752,1.3402005920357716,0.09418067769793324,0.8808260278909547,0.0839466544221017,0.24694095681072303,768
dinov2_vitb14,layer_09,Span,0.4615436442396982,0.11294297357260356,0.4797205172668327,0.03512758435710144,0.3002630360926604,0.025739676713909043,0.5566412422358638,768
dinov2_vitb14,layer_09,Skewness,0.4499523755063285,0.11127166683127837,0.19740467806272471,0.013765164214749022,0.1275422265747159,0.007424757898545054,0.5350752322564531,768
dinov2_vitb14,layer_09,sigma_local,0.5453784860801675,0.21674875524396123,3.6424948897177765,0.4882423950076154,2.1285938830012463,0.2675523061307011,0.6978283028213372,768
dinov2_vitb14,layer_12,D50,0.4304992475014185,0.1391276262455088,1.5159816851606944,0.15667149284644366,0.882409930298223,0.15889562361328616,0.5218268003082149,768
dinov2_vitb14,layer_12,D90,0.17421098978447996,0.1005495875977142,1.351662086346836,0.1241033118427881,0.8573291776076377,0.08476008955302532,0.23135794777842988,768
dinov2_vitb14,layer_12,Span,0.4083332849558037,0.18564754771436776,0.49534685001564416,0.04246138326353195,0.3167053841033147,0.03882449960371139,0.5264651504178657,768
dinov2_vitb14,layer_12,Skewness,0.4198794964416418,0.12196355111004167,0.20228678949334844,0.006753325524410494,0.13099524137645513,0.015588447093708789,0.5136769897830693,768
dinov2_vitb14,layer_12,sigma_local,0.5039827729853527,0.1406977802040875,4.0415563526416065,1.2156582961700735,2.5606599538552755,0.8799635690996975,0.6012682644856153,768
dinov2_vitb14_reg,layer_03,D50,0.7395957495393277,0.062220572921474676,1.0265097178885614,0.11713802619573246,0.6338897383509067,0.05948203465463006,0.7802529585016,768
dinov2_vitb14_reg,layer_03,D90,0.2825777378464955,0.09506657776253939,1.2577058577849618,0.10141546038229708,0.8505350599549718,0.08702498043464103,0.3357590860449543,768
dinov2_vitb14_reg,layer_03,Span,0.748248702642319,0.04998428022220922,0.32929099171110077,0.0340390225943147,0.1988236350559846,0.02552219971670184,0.7900847009147967,768
dinov2_vitb14_reg,layer_03,Skewness,0.6518879595219043,0.057747078394792435,0.15718787063611206,0.002337833404386341,0.10478134328769324,0.010731839771608003,0.7066704567697981,768
dinov2_vitb14_reg,layer_03,sigma_local,0.7214863977001746,0.09489434087518141,2.9124946125492555,0.48700930454527913,1.868115220463864,0.26319632237503576,0.8048285049838091,768
dinov2_vitb14_reg,layer_06,D50,0.6263439866358703,0.13704037330681645,1.218955764727905,0.2139588448146654,0.7446933680703538,0.11539789293847089,0.6845993842781224,768
dinov2_vitb14_reg,layer_06,D90,0.25609930142395704,0.1133050418531092,1.2778623308193178,0.09629193948438247,0.7982446089267452,0.06388743551546,0.31481417403950107,768
dinov2_vitb14_reg,layer_06,Span,0.6565636443944772,0.10190697439772395,0.37807367261329033,0.023340854196485156,0.23974572416414067,0.02199572282245537,0.7250526304677959,768
dinov2_vitb14_reg,layer_06,Skewness,0.5451644488392564,0.1461113951740903,0.17706405841746814,0.013435394655396159,0.11319835771527784,0.006535251589196302,0.6255991238397588,768
dinov2_vitb14_reg,layer_06,sigma_local,0.5984672793798594,0.1814139600466533,3.4285905597892863,0.8321755116180829,2.349181512226968,0.6299006357649862,0.7212990312957863,768
dinov2_vitb14_reg,layer_09,D50,0.509486728702375,0.1267789663181485,1.4077014514693005,0.18867271767557642,0.8736878786854373,0.19895918460616036,0.5846438662998301,768
dinov2_vitb14_reg,layer_09,D90,0.21453475032919891,0.12602349350485287,1.3110117902840872,0.07250046834059493,0.8384681087743207,0.08152204926583509,0.28068611744242145,768
dinov2_vitb14_reg,layer_09,Span,0.5091174758033334,0.14506220613627252,0.4518702057341124,0.03773743897227207,0.29483801109501473,0.04225316521162454,0.6060238147447625,768
dinov2_vitb14_reg,layer_09,Skewness,0.4583321223778797,0.12817277043882722,0.19508782393413812,0.013167871197663869,0.13199536487834512,0.010228890157536984,0.5460932851449157,768
dinov2_vitb14_reg,layer_09,sigma_local,0.6125563491281903,0.10855165748753601,3.5212425191909973,0.8415583101708564,2.1770595234994374,0.5504470794394485,0.7065072423984293,768
dinov2_vitb14_reg,layer_12,D50,0.3956035112980321,0.12889153849835294,1.565541186631646,0.150649891951767,0.9329112208080954,0.2011089645977793,0.49075176964377687,768
dinov2_vitb14_reg,layer_12,D90,0.16057018317156366,0.15155562116562946,1.3554419431472735,0.11139424148092386,0.8486591420547474,0.030981203812492093,0.22818919446449148,768
dinov2_vitb14_reg,layer_12,Span,0.4325739235398813,0.1372347021212739,0.4900616328719189,0.019540905926402855,0.306456030291625,0.03035680955903454,0.5390595380819538,768
dinov2_vitb14_reg,layer_12,Skewness,0.4293527038396435,0.10133579897205204,0.2015851071418923,0.015275205440481462,0.12677610519520763,0.017299087161527216,0.5147343246702568,768
dinov2_vitb14_reg,layer_12,sigma_local,0.514868995557555,0.23984882063553373,3.703807602783769,0.538429389994434,2.19941288737148,0.13666319439475536,0.6865307418794158,768
