block,metric,dim,importance_impurete,dans_top10_ridge
block_6,D50,281,0.01263910692078209,False
block_6,D50,266,0.012363251380481763,False
block_6,D50,301,0.01222244252309894,False
block_6,D90,227,0.06653960260695739,False
block_6,D90,121,0.03133993793786378,False
block_6,D90,233,0.03010056859667172,True
block_6,D90,325,0.026852488143384184,False
block_6,D90,40,0.01382525172520555,True
block_6,D90,284,0.0128483525032403,False
block_6,D90,359,0.012165275485003377,False
block_6,D90,141,0.009789408508089695,False
block_6,D90,207,0.009485999005017669,False
block_6,D90,137,0.009218923507123293,False
block_6,D90,35,0.009077260136097335,False
block_6,D90,20,0.008892402722371063,False
block_6,Span,227,0.1500639562248989,False
block_6,Span,325,0.08249255598854949,False
block_6,Span,359,0.05920123262313093,False
block_6,Span,233,0.03951422424110894,True
block_6,Span,313,0.027421168079464583,False
block_6,Span,301,0.020087577410232673,False
block_6,Span,151,0.016532106980476552,False
block_6,Span,85,0.013141395739803077,False
block_6,Span,4,0.012518163338836603,False
block_6,Span,203,0.011897072346275635,False
block_6,Span,266,0.010853642146548638,False
block_6,Span,121,0.010815494130603835,False
block_6,Skewness,227,0.13483441769937404,False
block_6,Skewness,325,0.06964223410475819,False
block_6,Skewness,233,0.04869566528137501,True
block_6,Skewness,359,0.04274598042529958,False
block_6,Skewness,121,0.019187817161036833,False
block_6,Skewness,313,0.016202006025477063,False
block_6,Skewness,35,0.01381820201593331,False
block_6,Skewness,151,0.01287071633114283,False
block_6,Skewness,85,0.011412061412532624,False
block_6,Skewness,266,0.010840577749198946,False
block_6,Skewness,281,0.010763029525421934,False
block_6,Skewness,4,0.010029700856085011,False
block_6,sigma_local,227,0.12075275540220418,True
block_6,sigma_local,313,0.043649540986748905,False
block_6,sigma_local,359,0.03574441573639988,False
block_6,sigma_local,325,0.034886077578928955,False
block_6,sigma_local,266,0.0221639182901847,False
block_6,sigma_local,173,0.022049718025611405,False
block_6,sigma_local,4,0.01840641521260465,False
block_6,sigma_local,277,0.0178850786119166,False
block_6,sigma_local,95,0.015517126427565604,False
block_6,sigma_local,233,0.014406697340234743,False
block_6,sigma_local,76,0.014219933641953262,False
block_6,sigma_local,238,0.014168153924619568,False
block_9,D50,85,0.09335413393615803,False
block_9,D50,145,0.05407344640024687,False
block_9,D50,227,0.04547142560431702,False
block_9,D50,13,0.027573883778519517,False
block_9,D50,299,0.0260509715534395,True
block_9,D50,289,0.023757531403546476,False
block_9,D50,104,0.02287250287073371,False
block_9,D50,367,0.02283228347893934,False
block_9,D50,348,0.021912216376804974,False
block_9,D50,233,0.018578050431521193,True
block_9,D50,325,0.013913708095480079,True
block_9,D50,68,0.013626232988006661,False
block_9,D90,85,0.05249083997768317,False
block_9,D90,289,0.03569243955140082,False
block_9,D90,233,0.022063959128301752,True
block_9,D90,145,0.01852260563881459,False
block_9,D90,157,0.018245459796717906,False
block_9,D90,344,0.015185726406732571,False
block_9,D90,104,0.014005306560669641,False
block_9,D90,227,0.012380354013561728,False
block_9,D90,348,0.011762669104080664,False
block_9,D90,207,0.01085149726947409,False
block_9,D90,50,0.009897125378826898,False
block_9,D90,284,0.009751651173126983,True
block_9,Span,85,0.0909934678142413,False
block_9,Span,145,0.048576112008970634,False
block_9,Span,13,0.045146528837356384,False
block_9,Span,227,0.03806304995497901,False
block_9,Span,301,0.025275129577468997,False
block_9,Span,299,0.025144278905984835,True
block_9,Span,367,0.024140637840092728,False
block_9,Span,104,0.02129650326892918,False
block_9,Span,348,0.020340447920816414,False
block_9,Span,289,0.01948492477427398,False
block_9,Span,68,0.013348183929464644,False
block_9,Span,321,0.012624171714475625,False
block_9,Skewness,85,0.0981565777320177,False
block_9,Skewness,145,0.0520601701189287,False
block_9,Skewness,289,0.036063608427840184,False
block_9,Skewness,227,0.03364885964413793,False
block_9,Skewness,104,0.027625720074763785,False
block_9,Skewness,299,0.02305756826219358,True
block_9,Skewness,233,0.02070158151844982,True
block_9,Skewness,13,0.020479671360796096,False
block_9,Skewness,348,0.019288243829757086,False
block_9,Skewness,157,0.015885068924173185,False
block_9,Skewness,367,0.01157194767573833,False
block_9,Skewness,321,0.01073439020697838,False
block_9,sigma_local,227,0.10984018081698935,True
block_9,sigma_local,85,0.06775064950534071,False
block_9,sigma_local,225,0.027068726700333244,False
block_9,sigma_local,145,0.02501305564424494,False
block_9,sigma_local,325,0.024333217873674786,False
block_9,sigma_local,242,0.024300098990155367,False
