block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_6,D50,2,SVR_RBF,0.7561025852597958,0.9342669652698163,0.5436673041215485,
block_6,D50,2,RF_sqrt,0.6437767399163139,1.1290899230336184,0.8393103890606817,
block_6,D50,2,RF_third,0.691667823659293,1.0504534666357086,0.7525957965630763,
block_6,D50,2,GBM,0.7107821116675379,1.0173724428322204,0.6538934089014168,235.0
block_6,D50,2,GBM_train,0.9636146687274949,0.42565053240832185,0.09227511777346287,235.0
block_6,D90,2,Ridge,0.4411727722831298,1.2645812532347596,0.7365769892896843,
block_6,D90,2,SVR_RBF,0.3275754515645355,1.3871701675191166,0.8690437205708577,
block_6,D90,2,RF_sqrt,0.3469704173469176,1.3670184877450893,0.8435468292337269,
block_6,D90,2,RF_third,0.37180252119876933,1.3407754670978786,0.7273641322861621,
block_6,D90,2,GBM,0.3178432433445709,1.3971725767295442,0.8898919326960488,26.0
block_6,D90,2,GBM_train,0.5637463970544275,0.9943611637979438,0.7267798778893209,26.0
block_6,Span,2,Ridge,0.7180624884636716,0.36876856537050146,0.2707945368123732,
block_6,Span,2,SVR_RBF,0.668590725075161,0.3998156520345087,0.30053419839628637,
block_6,Span,2,RF_sqrt,0.5834193185257744,0.44825694369762353,0.3674703575352898,
block_6,Span,2,RF_third,0.6367231698234443,0.418597193586063,0.3130800208255793,
block_6,Span,2,GBM,0.661871284485475,0.403848514757141,0.29346685540533857,161.0
block_6,Span,2,GBM_train,0.9635589429932461,0.13604722926478377,0.04838038778778664,161.0
block_6,Skewness,2,Ridge,0.693336734020523,0.15678775690966928,0.10961370032707884,
block_6,Skewness,2,SVR_RBF,0.6472090226271614,0.16816670054952426,0.11442756134230148,
block_6,Skewness,2,RF_sqrt,0.5516547612534031,0.18957783079479365,0.133976444871179,
block_6,Skewness,2,RF_third,0.5875619410657678,0.18182794722640114,0.1307787731502843,
block_6,Skewness,2,GBM,0.6104911701869862,0.17670137223680232,0.12728822212417168,103.0
block_6,Skewness,2,GBM_train,0.9210072965233336,0.08053379301678909,0.039174878082176845,103.0
block_6,sigma_local,2,Ridge,0.6083581085398935,2.1619855768575786,1.3940012934888006,
block_6,sigma_local,2,SVR_RBF,0.4051820218316634,2.664405158954152,1.9809823660663692,
block_6,sigma_local,2,RF_sqrt,0.058851761950709736,3.351484686915238,2.4803147358252513,
block_6,sigma_local,2,RF_third,-0.18520089413395135,3.7610075728902834,2.4353641225338514,
block_6,sigma_local,2,GBM,-0.2043424413256223,3.7912569399136236,2.3548552215355905,255.0
block_6,sigma_local,2,GBM_train,0.9667807706618445,1.268253759071754,0.17519314064780644,255.0
block_6,D50,3,Ridge,0.7549794273372101,1.0394067133135092,0.7140832212039792,
block_6,D50,3,SVR_RBF,0.6677546235286576,1.2103576382191998,0.8485560616528423,
block_6,D50,3,RF_sqrt,0.6053494442757347,1.3191391252803872,0.9786398402913994,
block_6,D50,3,RF_third,0.6451705246359813,1.2508178975258932,0.89323783043469,
block_6,D50,3,GBM,0.6760256206921212,1.1951972231976933,0.7676299561563686,122.0
block_6,D50,3,GBM_train,0.9579038565978187,0.45630003849247736,0.21010817182623232,122.0
