patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
2765,7.465321154361975,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,5.5786692289214495,5.847822366967063,-0.2691531380456133,0.2691531380456133
2769,7.776002580668257,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,5.722831470213671,5.325597281136814,0.3972341890768565,0.3972341890768565
2794,7.87475156017665,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,4.366137603132429,5.115229719939205,-0.7490921168067768,0.7490921168067768
2795,7.740443174098288,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,5.776124031007751,5.831541600078051,-0.0554175690702996,0.0554175690702996
2796,7.818544295807788,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,6.433222779485521,6.774104130461074,-0.340881350975553,0.340881350975553
2797,7.830673365526819,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,7.021797939860578,6.999802986514072,0.021994953346506,0.021994953346506
2798,7.313203790241607,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,7.92739981360671,5.642863332017665,2.284536481589045,2.284536481589045
2801,7.072720578150383,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,6.001731689925639,5.299168753870629,0.7025629360550099,0.7025629360550099
2802,7.282526409918845,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,4.973392276253232,6.189931998872189,-1.2165397226189567,1.2165397226189567
2810,9.020479058912864,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.167720090293453,6.293885005525832,-1.126164915232379,1.126164915232379
2811,6.8880790627284565,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.773398356603648,3.312234161597738,0.4611641950059102,0.4611641950059102
2812,8.11106230420246,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.011668816699896,5.761270700349572,-0.7496018836496754,0.7496018836496754
2813,7.219710163206207,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.6408383309940033,4.601642245380491,-0.9608039143864876,0.9608039143864876
2814,8.54645558245129,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.798436142484796,6.198480233666151,-0.4000440911813552,0.4000440911813552
2815,8.1157007852974,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.720569677303047,4.714767994007695,-0.9941983167046478,0.9941983167046478
2819,7.589553715203549,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.041252194265653,5.79754670389612,-0.7562945096304663,0.7562945096304663
2820,6.635487969694919,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.799505256648115,5.924520025544913,-0.1250147688967979,0.1250147688967979
