block,fold,metric,model,dropout,seed,r2,rmse,medae
block_6,0,D50,MLP_p0.3,0.3,2.0,0.5335866484183671,1.3698873629389483,0.8229921912533746
block_6,0,D50,MLP_p0.5,0.5,0.0,0.5095087009897363,1.4048017066695637,0.8423729751754001
block_6,0,D50,MLP_p0.5,0.5,1.0,0.5591148872456202,1.331870775436814,0.7072169363723058
block_6,0,D50,MLP_p0.5,0.5,2.0,0.5153515407048572,1.3964094865931924,0.8061771798029644
block_6,0,D90,MLP_p0.3,0.3,0.0,0.15580135802597594,1.1448056886855553,0.8670138568766976
block_6,0,D90,MLP_p0.3,0.3,1.0,0.20733333125288622,1.1093146604889856,0.85912089528275
block_6,0,D90,MLP_p0.3,0.3,2.0,0.16243520808403134,1.1402987826925177,0.8167578094522892
block_6,0,D90,MLP_p0.5,0.5,0.0,0.20929946056379933,1.1079380350377617,0.847411199361261
block_6,0,D90,MLP_p0.5,0.5,1.0,0.20965084626028319,1.1076918249867782,0.8189137387737588
block_6,0,D90,MLP_p0.5,0.5,2.0,0.18053223711021915,1.1279124513260221,0.8239258457958432
block_6,0,Span,MLP_p0.3,0.3,0.0,0.5209496513981318,0.3710932274651926,0.23206257186470003
block_6,0,Span,MLP_p0.3,0.3,1.0,0.5938087714156836,0.341710023756227,0.23075782719535565
block_6,0,Span,MLP_p0.3,0.3,2.0,0.6249794826597839,0.328337103376633,0.2053639379021135
block_6,0,Span,MLP_p0.5,0.5,0.0,0.5395730136836696,0.3638084930325757,0.24105189534138127
block_6,0,Span,MLP_p0.5,0.5,1.0,0.535960919092662,0.3652327616545481,0.24318513175384404
block_6,0,Span,MLP_p0.5,0.5,2.0,0.5867056552868124,0.3446848375587815,0.22560920225530734
block_6,0,Skewness,MLP_p0.3,0.3,0.0,0.40361925988562897,0.17861039902498718,0.09559217876529785
block_6,0,Skewness,MLP_p0.3,0.3,1.0,0.3894449673004713,0.18072046842366182,0.10695595981980052
block_6,0,Skewness,MLP_p0.3,0.3,2.0,0.449670005244286,0.17157599568040477,0.11083341298411578
block_6,0,Skewness,MLP_p0.5,0.5,0.0,0.4119991822066652,0.1773511059055168,0.10738843085084769
block_6,0,Skewness,MLP_p0.5,0.5,1.0,0.45089407513389423,0.17138507575344333,0.10643499628706624
block_6,0,Skewness,MLP_p0.5,0.5,2.0,0.4629164622561369,0.16949849888770568,0.10524948610911555
block_6,0,sigma_local,MLP_p0.3,0.3,0.0,0.6975356900813301,4.005404336020766,2.4643394956611875
block_6,0,sigma_local,MLP_p0.3,0.3,1.0,0.7050269186927305,3.955491794533781,2.264972747403471
block_6,0,sigma_local,MLP_p0.3,0.3,2.0,0.7291555433684856,3.7902623468866845,2.1280438121595875
block_6,0,sigma_local,MLP_p0.5,0.5,0.0,0.6956310585758566,4.017995651673796,2.27211067473495
block_6,0,sigma_local,MLP_p0.5,0.5,1.0,0.6919975821994223,4.041907388081522,2.7077066761683266
block_6,0,sigma_local,MLP_p0.5,0.5,2.0,0.6673571762152525,4.200474715447594,2.3886998680419858
block_6,1,D50,Ridge,,,0.8324069332466199,0.900728849223383,0.5120203947509676
block_6,1,D90,Ridge,,,0.2166769471758958,1.4180713464495756,0.877112128466516
block_6,1,Span,Ridge,,,0.8540045961907538,0.30356218218157993,0.18573409000303354
block_6,1,Skewness,Ridge,,,0.7228666047130243,0.15790689616581016,0.09441804398732415
block_6,1,sigma_local,Ridge,,,0.7641294976453527,2.3100556073881044,1.6253926190280081
block_6,1,D50,MLP_p0.3,0.3,0.0,0.8260801066770489,0.9175731124732548,0.6386254038722567
block_6,1,D50,MLP_p0.3,0.3,1.0,0.8316562688644733,0.9027438181014422,0.5814703413316056
block_6,1,D50,MLP_p0.3,0.3,2.0,0.815067688247811,0.9461771334867602,0.6096853322807854
block_6,1,D50,MLP_p0.5,0.5,0.0,0.8230128426406357,0.9256289428690915,0.6196760653128677
block_6,1,D50,MLP_p0.5,0.5,1.0,0.8163623762091503,0.9428592824969034,0.5988292133824924
block_6,1,D50,MLP_p0.5,0.5,2.0,0.8162861877376173,0.9430548512394417,0.6312229422434932
block_6,1,D90,MLP_p0.3,0.3,0.0,0.16711683231977614,1.462243402204237,0.9220093768944633
block_6,1,D90,MLP_p0.3,0.3,1.0,0.19913624616097259,1.4338606522363488,0.9346654125073446
block_6,1,D90,MLP_p0.3,0.3,2.0,0.16776949030071764,1.461670373539425,0.9076225098673447
block_6,1,D90,MLP_p0.5,0.5,0.0,0.20791806876339147,1.4259775264589432,0.9272668424494803
block_6,1,D90,MLP_p0.5,0.5,1.0,0.17550757179808185,1.4548591964643103,0.9555417323772044
block_6,1,D90,MLP_p0.5,0.5,2.0,0.18457839742453253,1.4468340943270508,0.9414683086594096
block_6,1,Span,MLP_p0.3,0.3,0.0,0.8348100695460615,0.322901349057143,0.1979664125667976
block_6,1,Span,MLP_p0.3,0.3,1.0,0.8030457920028937,0.35258246227221174,0.2512979677498095
block_6,1,Span,MLP_p0.3,0.3,2.0,0.8173026555571874,0.33958163241008726,0.24314899728472028
block_6,1,Span,MLP_p0.5,0.5,0.0,0.8169048414025005,0.3399511422196196,0.22424846515547503
block_6,1,Span,MLP_p0.5,0.5,1.0,0.790349053809892,0.3637696713419746,0.25179245923244964
block_6,1,Span,MLP_p0.5,0.5,2.0,0.8172708593476465,0.3396111811126843,0.22054461747855436
block_6,1,Skewness,MLP_p0.3,0.3,0.0,0.713298624519502,0.1606096198200174,0.09237927986155112
block_6,1,Skewness,MLP_p0.3,0.3,1.0,0.6626416403600393,0.17422176291824235,0.10528709442120729
block_6,1,Skewness,MLP_p0.3,0.3,2.0,0.6954273728374922,0.1655396758796498,0.10247349799471811
block_6,1,Skewness,MLP_p0.5,0.5,0.0,0.7243549313682942,0.1574823110514886,0.09940356186577018
block_6,1,Skewness,MLP_p0.5,0.5,1.0,0.6819264963631649,0.16916885591087377,0.09870646742809067
block_6,1,Skewness,MLP_p0.5,0.5,2.0,0.7161735201857236,0.1598023351452726,0.09551543485088851
block_6,1,sigma_local,MLP_p0.3,0.3,0.0,0.6767521939751735,2.704290927994291,1.769946103889592
block_6,1,sigma_local,MLP_p0.3,0.3,1.0,0.6014492453666647,3.00280711470823,1.6649481654629996
block_6,1,sigma_local,MLP_p0.3,0.3,2.0,0.6822883452953066,2.6810331970746906,1.650414961084583
block_6,1,sigma_local,MLP_p0.5,0.5,0.0,0.6602278524080766,2.772550759609489,1.805085323900637
block_6,1,sigma_local,MLP_p0.5,0.5,1.0,0.6448091098499829,2.834761511622687,1.5338482424605386
block_6,1,sigma_local,MLP_p0.5,0.5,2.0,0.6684575586933236,2.7387676149777036,1.8055237063668708
block_6,2,D50,Ridge,,,0.7641376180676458,0.9187486934777431,0.6010998276063368
block_6,2,D90,Ridge,,,0.4411727722831298,1.2645812532347598,0.7365769892896843
block_6,2,Span,Ridge,,,0.7180624884636697,0.3687685653705027,0.27079453681235854
block_6,2,Skewness,Ridge,,,0.6933367340205195,0.1567877569096702,0.10961370032707296
block_6,2,sigma_local,Ridge,,,0.6083581085400067,2.1619855768572664,1.3940012934885981
